name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
Reunion BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34678886165032,-71.06932329057918
Secret Barbecue,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.345208320382,-71.0521083597115
Smoke Shop BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.3506141,-71.0493611
Sweet Cheeks Q,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34373828994109,-71.10125852846103
Tasty BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.35590219761674,-71.06055030277935
Texas Thunder BBQ Company at The BBQ Beach Party,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.35974376715129,-71.05937855120732
The Big Green Egg,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.359847152041624,-71.06946919046352
The Causeway Restaurant and Pub,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.3646590394484,-71.06291183403863
The Sausage Connection,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34731623835271,-71.09597889474297
The Smoke Shop BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.36561,-71.061527
The Smoke Shop BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.366548,-71.041941
Uling Roasters,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.32688535871762,-71.05425346204385
Whats Sub BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.35601111846689,-71.06189937417123
boston beer BBQ fest boston,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34470274753518,-71.07126379772471
co ma,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.293872330425216,-71.05368398493684
laretta's,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34725184109629,-71.0945054671091
